algorithm,port1_k10,port2_k10,port3_k10,port4_k10,port5_k10
bb+nsgaii,0.7024290017043696,0.8088404135058347,0.7188919182755686,0.7920493091773646,0.8059088114035583
branch_and_bound,0.7020456569186255,0.8095298452821734,0.7198881537400847,0.7912709985660688,0.8066705383306702
logs,,,,,
nsgaii,0.7014256790518191,0.807033027826968,0.7148835758509969,0.7890426796590019,0.7997366131693358
